Time [sec],Potentiometer [V]
0.00,4.99512
0.01,3.82324
0.02,0.620117
0.03,0.273438
0.04,3.10547
0.05,4.99512
0.06,4.99512
0.07,2.5
0.08,0.0732422
0.09,1.09375
0.10,4.375
0.11,4.99512
0.12,4.6875
0.13,1.24512
0.14,0
0.15,2.20215
0.16,4.99512
0.17,4.99512
0.18,3.4375
0.19,0.385742
0.20,0.46875
0.21,3.75
0.22,4.99512
0.23,4.99512
0.24,2.10938
0.25,0
0.26,1.24512
0.27,4.72168
0.28,4.99512
0.29,4.375
0.30,0.942383
0.31,0.136719
0.32,2.65137
0.33,4.99512
0.34,4.99512
0.35,2.96875
0.36,0.234375
0.37,0.761719
0.38,3.90137
0.39,4.99512
0.40,4.99512
0.41,1.71875
0.42,0
0.43,1.875
0.44,4.99512
0.45,4.99512
0.46,3.78418
0.47,0.620117
0.48,0.292969
0.49,3.10547
0.50,4.99512
0.51,4.99512
0.52,2.49512
0.53,0.0341797
0.54,1.09375
0.55,4.375
0.56,4.99512
0.57,4.6875
0.58,1.24512
0.59,0.00488281
0.60,2.20215
0.61,4.99512
0.62,4.99512
0.63,3.4375
0.64,0.385742
0.65,0.473633
0.66,3.75
0.67,4.99512
0.68,4.99512
0.69,2.0459
0.70,0
0.71,1.24512
0.72,4.72168
0.73,4.99512
0.74,4.375
0.75,0.9375
0.76,0.136719
0.77,2.65137
0.78,4.99512
0.79,4.99512
0.80,2.96875
0.81,0.234375
0.82,0.761719
0.83,3.98438
0.84,4.99512
0.85,4.99023
0.86,1.63574
0.87,0
0.88,1.875
0.89,4.99512
0.90,4.99512
0.91,3.78418
0.92,0.620117
0.93,0.292969
0.94,3.10547
0.95,4.99512
0.96,4.99512
0.97,2.49023
0.98,0.0732422
0.99,1.09375
1.00,4.375
1.01,4.99512
1.02,4.6875
1.03,1.24512
1.04,0.00488281
1.05,2.22168
1.06,4.99512
1.07,4.99512
1.08,3.4375
1.09,0.385742
1.10,0.483398
1.11,3.75
1.12,4.99512
1.13,4.99512
1.14,2.02637
1.15,0
1.16,1.24512
1.17,4.84375
1.18,4.99512
1.19,4.375
1.20,0.9375
1.21,0.136719
1.22,2.65137
1.23,4.99512
1.24,4.99512
1.25,2.92969
1.26,0.234375
1.27,0.761719
1.28,3.98438
1.29,4.99512
1.30,4.98047
1.31,1.63574
1.32,0
1.33,1.875
1.34,4.99512
1.35,4.99512
1.36,3.76465
1.37,0.620117
1.38,0.292969
1.39,3.11523
1.40,4.99512
1.41,4.99512
1.42,2.49023
1.43,0.0732422
1.44,1.09375
1.45,4.375
1.46,4.99512
1.47,4.6875
1.48,1.24512
1.49,0.00488281
1.50,2.22168
1.51,4.99512
1.52,4.99512
1.53,3.35938
1.54,0.34668
1.55,0.483398
1.56,3.75
1.57,4.99512
1.58,4.99512
1.59,2.02637
1.60,0
1.61,1.24512
1.62,4.76074
1.63,4.99512
1.64,4.375
1.65,0.9375
1.66,0.136719
1.67,2.65137
1.68,4.99512
1.69,4.99512
1.70,2.88574
1.71,0.19043
1.72,0.771484
1.73,4.02344
1.74,4.99512
1.75,4.98047
1.76,1.63574
1.77,0
1.78,1.875
1.79,4.99512
1.80,4.99512
1.81,3.75488
1.82,0.620117
1.83,0.292969
1.84,3.12012
1.85,4.99512
1.86,4.99512
1.87,2.49023
1.88,0.0341797
1.89,1.09375
1.90,4.375
1.91,4.99512
1.92,4.6875
1.93,1.24512
1.94,0.0146484
1.95,2.22168
1.96,4.99512
1.97,4.99512
1.98,3.35938
1.99,0.34668
